濛	水草丶
棒	木一一一
绑	乛乛一一
榜	木丶一丶
傍	人丶一丶
磅	一丿丶一
梆	木一一一
镑	金丶一
谤	丶乛丶一
蚌	丨乛一一
浜	水丿丨一
蒡	草丶一
玤	一一一一
搒	手丶一
塝	土丶一
保	人口木木
报	手乛丨
包	丿乛乛一
宝	丶丶一一
抱	手丿乛
暴	日一丨
爆	丶丿日
薄	草水一
堡	人丨土
饱	丿乛丿乛
豹	丿丶丿乛
胞	月丿乛乛
剥	乛一丨丨
鲍	丿乛丿乛
褒	丶一人丨
刨	丿乛丨丨
苞	草丿乛
鸨	丿乛丿乛
曝	日日
煲	人丨丶丿
葆	草人口
雹	一丶丿乛
褓	丶乛人口
炮	丶丿丿乛
龅	丨一丿乛
孢	乛丨丿乛
趵	口丨丿乛
枹	木丿乛乛
瀑	水日一
被	丶乛乛丿
备	丿乛丨乛
北	丨一丿乛
背	丨一月月
呗	口贝贝
杯	木一丿丨
辈	丨一一乛
悲	丨一丶乛
贝	贝贝
倍	人丶一丶
卑	丿丨十
惫	丿乛丶乛
碑	一丿丿丨
狈	丿乛贝
蓓	草人丶
悖	丶丶十
孛	十乛丨
焙	丶丿丶一
邶	丨一乛丨
陂	乛丨乛丿
钡	金贝
褙	丶乛丨一
碚	一丿丶一
鞴	一丨一丨
鐾	乛一金
鹎	丿丨丿乛
棓	木丶一丶
糒	丶丿一
琲	一一丨一
椑	木丿丨
臂	乛一月月
鞁	一丨乛丿
本	一丨丿丶
奔	一丿一丨
笨	丿一一丨
贲	十贝
苯	草一丨
锛	金一丿
畚	乛丶一丿
犇	丿一丿一
坌	丿丶土
倴	人一丿丶
栟	木丶丿一
夯	一丿乛丿
崩	丨乛月月
蹦	口丨丨乛
绷	乛乛月月
迸	丶丿丶乛
甭	一丿丿乛
嘣	口丨乛丨
泵	一丿水水
镚	金丨乛
甏	士一乛
琫	一一一一
祊	丶乛丶一
比	一乛丿乛
必	丶乛丶丿
毕	一乛十
笔	丿一丿一
避	乛一丶乛
闭	丶丨一丨
鼻	丿丨丨乛
逼	一口丶乛
屄	乛一丶丶
壁	乛一土
彼	丿丿乛丿
碧	一一一丿
币	丿丨乛丨
陛	乛丨一乛
鄙	口一乛丨
蔽	草丶丿
匕	丿乛乛
毙	一乛一丿
辟	乛一丶一
婢	乛丿丿丨
弊	丶丿一丿
璧	乛一一一
庇	丶一一乛
敝	丶丿丿一
痹	丶一丨乛
弼	乛一一丿
俾	人丿丨乛
裨	丶乛丿丨
薜	草乛一
哔	口一乛丿
愎	丶丶丿一
吡	口一乛丿
跸	口丨一乛
妣	乛丿一乛
篦	丿一丿丨
荜	草一乛
狴	丿乛一乛
毖	一乛丶乛
蓖	草丿丨
嬖	乛一乛丿
筚	丿一一乛
髀	丨乛丿丨
荸	草十
濞	水丿丨乛
畀	丨乛一丿
赑	贝丨乛
秕	丿一一乛
箅	丿一丨乛
芘	草一乛
佛	人乛一乛
襞	乛一丶一
苾	未知
滗	水丿一丶
铋	金丶乛
庳	丶一丿丨
萆	草丿丨
皕	一丿一丿
咇	口丶乛丶
舭	丿丿一乛
沘	水一乛丿
珌	一一丶乛
觱	一丿丿乛
诐	丶乛乛丿
邲	丶乛乛丨
佖	人丶乛丶
馝	丿一丶乛
坒	一乛土
泌	水丶乛丶
秘	丿一丶乛
鲾	丿乛一口
边	乛丿丶乛
便	人一丨乛
变	丶一乛丶
遍	丶乛丶乛
编	乛乛丶乛
辩	丶一丶乛
鞭	一丨人一
辨	丶一丶丿
扁	丶乛丨乛
辫	丶一乛乛
贬	贝丿丶
蝙	丨乛丶乛
匾	一丶乛一
卞	丶一丨丶
汴	水丶一丨
弁	乛丶一丿
砭	一丿丿丶
煸	丶丿丶乛
褊	丶乛丶乛
笾	丿一乛丿
鳊	丿乛丶乛
昪	日乛丶
忭	丶丶丶一
苄	草丶一
抃	未知
碥	一丿丶乛
萹	未知
表	一一丿乛
标	木一一丨
镖	金一丨
彪	丨一丿丿
飙	一丿丿乛
婊	乛丿一一
骠	乛乛一丨
镳	金丶一
膘	月一丨乛
裱	丶乛一一
杓	木丿乛丶
飑	丿乛丿乛
俵	人一一丨
鳔	丿乛一丨
摽	手一丨
瘭	丶一一丨
熛	丶丿一丨
藨	未知
儦	未知
骉	乛乛乛乛
瀌	未知
幖	未知
脿	未知
别	口乛丨丨
憋	丶丿丶乛
瘪	丶一丿丨
鳖	丶丿丨乛
蹩	丶丿口丨
癿	未知
宾	丶丶丿丨
彬	木木丿丿
斌	丶一一一
滨	水丶丶乛
鬓	一丨丶丶
缤	乛乛丶丶
镔	金丶丶
濒	水丨一丨
槟	木丶丶乛
殡	一丿丶丶
膑	月丶丶乛
摈	手丶丶
玢	一一丿丶
傧	人丶丶乛
豳	丨乛一丿
邠	丿丶乛丨
髌	丨乛丶丶
并	丶丿一一
兵	丿丨丿丶
冰	丶一水水
病	丶一一丨
柄	木一丨乛
饼	丿乛丶丿
禀	丶一丨乛
秉	丿一乛一
丙	一丨乛丿
炳	丶丿一丨
摒	手乛一
屏	乛一丶丿
邴	一丨乛丨
昺	未知
蛃	未知
波	水乛丿丨
博	十一丨
脖	月十丶
拨	手乛丿
播	手丿丶
勃	十乛丿
玻	一一乛丿
膊	月一丨乛
搏	手一丨
驳	乛乛丿丶
泊	水丿丨乛
簸	丿一一丨
帛	丿丨丨乛
钵	金一丨
跛	口丨乛丿
渤	水十丶
菠	草水乛
礴	一丿草
啵	口水乛丿
舶	丿丿丿丨
卜	丨丶丶
饽	丿乛十
铂	金丿丨
钹	金一丿
箔	丿一水丿
亳	丶一丿一
擘	乛一手
檗	乛一木木
鹁	十丿乛
僰	未知
踣	口丨丶一
镈	金一丨
砵	未知
鲌	丿乛丿丨
哱	未知
嶓	未知
浡	未知
馞	丿一十
艴	乛一丿乛
蕃	草丿丶
欂	未知
袯	未知
不	一丿丨丶
部	丶一乛丨
步	丨一丨丿
布	一丿丨乛
补	丶乛丨丶
怖	丶丶一丿
捕	手一丨
簿	丿一水一
埔	土一丨
哺	口一丨乛
埠	土丿丨
卟	口丨丶丶
逋	一丨丶乛
钚	金一丿
晡	日一丨
瓿	丶一一乛
醭	一丨丨丨
蔀	未知
埗	未知
擦	手丶丶
嚓	口丶丶乛
才	一丨丿丿
菜	草丿丶
彩	丿丶丿丿
采	丿丶木木
财	贝一丨
材	木一丨丿
猜	丿乛一一
蔡	草丿乛
裁	十丶一
踩	口丨丿丶
睬	丨乛丿丶
偲	未知
参	乛丶丿丿
残	一丿一一
惨	丶丶乛丶
餐	丨一人丶
灿	丶丿丨乛
惭	丶丶一乛
蚕	一一丨乛
璨	一一丨一
粲	丨一丶丿
骖	乛乛乛丶
黪	丨乛乛丶
䅟	未知
藏	草一丿
苍	草人乛
仓	人乛乛乛
舱	丿丿人乛
沧	水人乛乛
伧	人人乛乛
鸧	人乛丿乛
草	草日
操	手口口
肏	丿丶丨乛
曹	一丨日
嘈	口一丨乛
糙	丶丿丿一
槽	木一丨乛
漕	水一丨乛
艚	丿丿一丨
螬	丨乛一丨
测	水贝丨
侧	人贝丨
册	丿乛丿乛
策	丿一一丨
厕	一丿贝
恻	丶丶贝
岑	丨乛人丶
涔	水丨乛丨
曾	丶丿日
层	乛一一一
蹭	口丨丶丿
噌	口丶丿丨
嶒	未知
差	丶丿一丨
查	木日一
察	丶丶丿乛
茶	草人木
插	手丿一
诧	丶乛丶丶
叉	乛丶丶丶
岔	丿丶丨乛
茬	草一丿
衩	丶乛乛丶
碴	一丿木
姹	乛丿丶丶
杈	木乛丶丶
搽	手草
刹	丿丶丨丨
檫	木丶丶乛
槎	木丶丿一
汊	水乛丶丶
镲	金丶丶
锸	金丿一
馇	丿乛木
垞	未知
侘	未知
猹	丿乛木
蹅	未知
嵖	未知
喳	口木日
拆	手丿丿
柴	丨一木木
钗	金乛丶
豺	丿丶一丨
侪	人丶一丿
茝	未知
虿	一乛丨乛
瘥	丶一丶丿
产	丶一丶丿
颤	丶一一丿
缠	乛乛丶一
禅	丶乛丶丿
蝉	丨乛丶丿
搀	手丿乛
铲	金丶一
婵	乛丿丶丿
掺	手乛丶
阐	丶丨丶丿
忏	丶丶丿一
馋	丿乛丿乛
潺	水乛一丿
蟾	丨乛丿乛
谄	丶乛丿乛
谗	丶乛丿乛
孱	乛一乛丨
冁	丶丿乛一
澶	水丶一丨
觇	丨一丨乛
镡	金一丨
羼	乛一丶丿
廛	丶一丨乛
巉	未知
蒇	草一丿
韂	未知
躔	口丨丶一
刬	未知
浐	未知
襜	未知
瀍	未知
骣	乛乛乛一
镵	金丿乛
旵	未知
啴	未知
梴	未知
儳	未知
单	丶丿丨乛
辿	未知
长	丿一乛丶
常	丨丶口丨
场	土乛丿
唱	口日
厂	一丿丿
尝	丨丶一一
昌	日日
畅	丨乛乛丿
肠	月乛丿丿
偿	人丨丶丿
敞	丨丶丿一
怅	丶丶丿一
倡	人日
娼	乛丿日
嫦	乛丿丨丶
猖	丿乛日
昶	丶乛日
徜	丿丿丨丶
氅	丨丶丿一
伥	人丿一乛
裳	丨丶丶一
菖	草日
苌	草丿一
阊	丶丨日
鬯	丿丶丿乛
惝	丶丶丨丶
鲳	丿乛日
鲿	丿乛丨丶
朝	十月月
超	土乛丿
潮	水十丨
吵	口丨丿丶
嘲	口十丨
抄	手丨丿
炒	丶丿丨丿
巢	乛乛丨乛
钞	金丨丿
晁	日丿丶
焯	丶丿丨一
耖	一一丨丿
怊	丶丶乛丿
弨	乛一乛丿
绰	乛乛丨一
车	一乛一丨
彻	丿丿一乛
扯	手丨一
撤	手丶一
澈	水丶一乛
掣	丿一手
砗	一丿一乛
坼	土丿丿
尺	乛一丿丶
㬚	未知
沉	水丶乛丿
陈	乛丨一乛
臣	一丨乛一
晨	日一丿
尘	丨丿土
趁	土人丿
辰	一丿一一
衬	丶乛一丨
嗔	口十丨
琛	一一丶乛
称	丿一丿乛
宸	丶丶一丿
忱	丶丶丶乛
抻	手丨乛
碜	一丿乛丶
谌	丶乛一丨
谶	丶乛人丿
郴	木一乛丨
棽	未知
瞋	未知
榇	木丶一丶
龀	丨一丿乛
疢	未知
梣	未知
煁	未知
成	一丿乛乛
城	土一丿
程	丿一口一
承	乛丨一一
诚	丶乛一丿
盛	一丿丨乛
乘	丿一丨一
撑	手丨丶
呈	口一一丨
惩	丿丿丶乛
丞	乛丨乛丿
澄	水乛丶丿
逞	口一丶乛
橙	木乛丶丿
骋	乛乛丨乛
瞠	丨乛丨丶
秤	丿一一丶
铖	金一丿
塍	月丶丿一
琤	未知
裎	丶乛口一
澂	未知
埕	土口一
柽	木乛丶
蛏	丨乛乛丶
酲	一丨口一
枨	木丿一乛
珵	未知
赪	未知
偁	未知
宬	未知
牚	未知
珹	未知
憕	未知
庱	未知
晟	日一丿
铛	金丨丶
吃	口丿一乛
持	手土
迟	乛一丶乛
赤	土丿丨
痴	丶一丿一
池	水乛丨乛
齿	丨一人乛
斥	丿丿一丨
驰	乛乛乛丨
耻	一丨丨一
翅	十乛丶
哧	口土丿
炽	丶丿口丿
嗤	口乛丨丨
蚩	乛丨丨乛
叱	口丿乛乛
弛	乛一乛丨
侈	人丿乛丶
啻	丶一口口
敕	一丨丿一
螭	丨乛丶一
魑	丿丨丶一
饬	丿乛丿一
笞	丿一乛丶
匙	日丿乛
踟	口丨丿一
墀	土乛一
豉	一丨十
媸	乛丿乛丨
褫	丶乛丿丿
鸱	丿乛丿乛
彳	丿丿丨丨
茌	草人士
篪	丿一丿丿
瘛	丶一一一
摛	未知
眵	丨乛丿乛
傺	人丿乛丶
漦	未知
胣	未知
瓻	未知
痓	未知
冲	丶一丨乛
充	丶一丿乛
重	丿一丨乛
虫	丨乛一丨
崇	丨乛丶丶
宠	丶丶一丿
忡	丶丶丨乛
憧	丶丶丶一
铳	金丶一
舂	一一丿丨
艟	丿丿丶一
翀	未知
茺	草丶一
珫	未知
漴	未知
涌	水乛丶丨
种	丿一丨乛
㳘	未知
摏	未知
抽	手丨乛
仇	人丿乛乛
臭	丿丨一丿
丑	乛丨一一
愁	丿一丶乛
筹	丿一一一
瞅	丨乛丿一
酬	一丨丶丿
绸	乛乛丿乛
畴	丨乛一一
踌	口丨一一
惆	丶丶丿乛
稠	丿一丿乛
俦	人一一一
雠	人丶丶乛
瘳	丶一乛丶
犨	未知
帱	丨乛一一
杻	未知
侴	未知
椆	未知
出	乛丨丨乛
处	丿乛丨丶
楚	木一乛丨
除	乛丨人一
初	丶乛乛丿
触	丿乛丨乛
厨	一丿一丨
础	一丿乛丨
储	人丶乛
畜	丶一丨乛
褚	丶乛十
搐	手丶一
橱	木一丿一
躇	口丨草
雏	丿乛人丶
锄	金丨乛
矗	十十
杵	木丿一
楮	木十一
怵	丶丶木丶
黜	丨乛乛丨
绌	乛乛乛丨
蜍	丨乛人一
刍	丿乛乛一
滁	水乛丨人
樗	木一丶乛
蹰	口丨一丿
憷	丶丶木一
亍	一一丨丨
俶	未知
斶	未知
摴	未知
䝙	未知
䢺	未知
濋	未知
琡	未知
欻	未知
揣	手丨乛
踹	口丨丨乛
搋	手丿丿
啜	口乛丶乛
传	人一一乛
穿	丶丶一乛
船	丿丿丿乛
川	丿丨丨丨
喘	口丨乛丨
串	丨乛一丨
钏	金丿丨
椽	木乛乛一
舛	丿乛一乛
遄	丨乛丶乛
氚	丿一丿丨
床	丶一木木
窗	丶丶丿丨
创	人乛丨丨
疮	丶一人乛
闯	丶丨乛乛
怆	丶丶人乛
幢	丨乛丶一
噇	未知
吹	口丿乛人
垂	丿一丨一
锤	金丿一
捶	手丿一
炊	丶丿丿乛
槌	木丿丨乛
陲	乛丨丿一
棰	木丿一丨
倕	未知
圌	未知
春	一一日
纯	乛乛一乛
唇	一丿口口
蠢	一一丨乛
淳	水丶一口
醇	一丨丶一
椿	木一一一
鹑	丶一丿乛
莼	草乛乛
蝽	丨乛一一
瑃	未知
䲠	未知
堾	未知
戳	乛丶一乛
龊	丨一口丨
辍	一乛乛丶
踔	口丨丨一
惙	未知
逴	未知
此	丨一丿乛
次	丶一丿乛
刺	一丨丨丨
词	丶乛乛一
辞	丿一丶一
慈	丶丿丶乛
赐	贝日
磁	一丿丶丿
伺	人乛一口
瓷	丶一一乛
茨	草丶一
雌	丨一人丶
祠	丶乛乛一
呲	口丨一丨
疵	丶一丨一
泚	水丨一丨
糍	丶丿丶丿
鹚	丶丿丿乛
茈	草丨一
跐	口丨丨一
玼	未知
佽	未知
兹	丶丿乛乛
莿	未知
从	人人人
匆	丿乛丿丿
聪	一丨丶丿
丛	人丿一一
葱	草丿乛
琮	一一丶丶
淙	水丶丶乛
囱	丿丨丿乛
骢	乛乛丿丨
苁	草人人
枞	木人人人
璁	一一丿丨
熜	未知
悰	丶丶丶丶
凑	丶一一一
辏	一乛一一
腠	月一一一
粗	丶丿丨乛
促	人口丨一
醋	一丨一丨
簇	丿一丶一
猝	丿乛丶一
蹙	一丿口丨
蹴	口丨丶一
卒	丶一人丿
徂	丿丿丨乛
殂	一丿丨乛
蔟	草丶一
窜	丶丶丨乛
蹿	口丨丶丶
篡	丿一丨乛
撺	手丶丶
攒	手丿一
汆	丿丶水水
爨	丿丨木一
镩	金丶丶
脆	月丿乛一
催	人丨乛丨
翠	乛丶丶一
崔	丨乛人丶
摧	手丨乛
粹	丶丿丶一
悴	丶丶丶一
璀	一一丨乛
啐	口丶一人
萃	草丶一
瘁	丶一丶一
淬	水丶一人
榱	木丶一丨
毳	丿一丿一
漼	未知
缞	未知
存	一丿乛丨
村	木一丨丶
寸	一丨丶丶
忖	丶丶一丨
皴	乛丶乛丿
邨	一乛乛丨
错	金一丨
措	手一丨
挫	手人人
搓	手丶丿
撮	手日
磋	一丿丶丿
蹉	口丨丶丿
锉	金人人
厝	一丿一丨
矬	丿一人人
嵯	丨乛丶丿
痤	丶一人人
鹾	丨一丶丿
脞	月人人一
瑳	未知
棤	未知
莝	未知
大	一丿丶丶
打	手一丨
答	丿一人一
达	一丿丶乛
搭	手草
哒	口一丿丶
瘩	丶一草
嗒	口草人
沓	水日日
耷	一丿一丨
鞑	一丨一丿
靼	一丨日
妲	乛丿日
褡	丶乛草
跶	未知
怛	丶丶日
笪	丿一日
垯	未知
溚	未知
炟	未知
荙	未知
带	一丨丨乛
代	人一乛丶
待	丿丿土
呆	口木木
袋	人一丶一
戴	十丨乛
黛	人一丨乛
歹	一丿乛丶
贷	人一贝
逮	乛一丶乛
怠	乛丶丶乛
殆	一丿乛丶
岱	人一丨乛
玳	一一人一
呔	口一丿丶
傣	人一一一
迨	乛丶丶乛
绐	乛乛乛丶
叇	未知
埭	土乛一
骀	乛乛乛丶
轪	一乛一丿
垈	未知
但	人日一
淡	水丶丿丿
担	手日
弹	乛一丶丿
丹	丿乛丶一
蛋	乛丨丨乛
胆	月日一
旦	日一一
诞	丶乛丿丨
耽	一丨丶乛
惮	丶丶丶丿
石	一丿口口
眈	丨乛丶乛
澹	水丿乛一
掸	手丶丿
郸	丶丿乛丨
殚	一丿丶丿
啖	口丶丿丿
氮	丿一丶丿
儋	人丿乛一
聃	一丨丨乛
箪	丿一丶丿
亶	丶一丨乛
疸	丶一日
萏	草丿乛
瘅	丶一丶丿
疍	未知
赕	贝丶丿
憺	未知
膻	月丶一丨
当	丨丶乛一
党	丨丶口丿
荡	草水乛
挡	手丨丶
档	木丨丶丿
裆	丶乛丨丶
宕	丶丶一丿
砀	一丿乛丿
珰	一一丨丶
凼	水乛丨丨
谠	丶乛丨丶
垱	未知
菪	草丶丶
筜	未知
到	一乛丨丨
倒	人一乛丶
道	丶丿丶乛
刀	乛丿丿
导	乛一一丨
岛	丿乛丨乛
盗	丶一丨乛
叨	口乛丿丿
蹈	口丨丿丶
祷	丶乛一一
捣	手丿乛
稻	丿一丿丶
悼	丶丶丨一
纛	一一丨乛
忉	丶丶乛丿
氘	丿一丿丨
捯	手一乛
鱽	丿乛乛丿
舠	未知
的	丿丨丿乛
地	土乛丨
得	丿丿日
德	丿丿十
嘚	口丿丿
锝	金日
扽	手一乛
等	丿一土
灯	丶丿一丨
登	乛丶一口
瞪	丨乛乛丶
邓	乛丶乛丨
凳	乛丶丿乛
蹬	口丨乛丶
噔	口乛丶丿
镫	金乛丶
磴	一丿乛丶
戥	日一乛
嶝	丨乛乛丶
璒	一一乛丶
第	丿一乛一
弟	丶丿乛一
底	丶一丿乛
低	人丿乛一
帝	丶一丨乛
敌	丿一丿一
抵	手丿乛
递	丶丿丶乛
迪	丨乛丶乛
滴	水丶一丶
蒂	草丶一
狄	丿乛丶丿
笛	丿一丨乛
嘀	口丶一丶
堤	土日
邸	丿乛乛丨
嫡	乛丿丶一
棣	木乛一一
缔	乛乛丶一
谛	丶乛丶一
涤	水丿乛丶
荻	草丿乛
娣	乛丿丶丿
诋	丶乛丿乛
氐	丿乛一乛
砥	一丿丿乛
镝	金丶一
睇	丨乛丶丿
坻	土丿乛
柢	木丿乛一
鞮	未知
羝	丶丿丿乛
觌	十丨乛
籴	丿丶丶丿
骶	丨乛丿乛
碲	一丿丶一
禘	未知
翟	乛丶人丶
踶	未知
菂	未知
髢	未知
玓	未知
杕	未知
蹢	未知
媂	未知
提	手日
䃅	一丿丶丿
䗖	丨乛一丨
茋	草丿乛
嗲	口丿丶丿
点	丨一丶丶
电	丨乛一一
店	丶一丨一
殿	乛一丿乛
典	丨乛丿丶
颠	十一丿
垫	手土
甸	丿乛丨乛
惦	丶丶丶一
奠	丶丿一丿
掂	手丶一
癫	丶一十
巅	丨乛一丨
淀	水丶丶乛
滇	水十丨
玷	一一丨一
踮	口丨丶一
佃	人丨乛一
靛	一一丶丶
碘	一丿丨乛
钿	金丨乛
簟	丿一一丨
癜	丶一乛一
坫	土丨一
阽	乛丨丨一
扂	未知
琔	未知
掉	手丨一
调	丶乛丿乛
屌	乛一口
雕	丿乛人丶
吊	口丨乛丨
钓	金丿乛
刁	乛一一
叼	口乛一一
貂	丿丶乛丿
凋	丶一丿乛
碉	一丿丿乛
鲷	丿乛丿乛
铫	金丿丶
铞	金口丨
窎	未知
汈	未知
爹	丿丶丿乛
蝶	丨乛一丨
跌	口丨丿一
叠	乛丶丨乛
碟	一丿一丨
迭	丿一丶乛
谍	丶乛一丨
喋	口一丨丨
牒	丿丨一丨
堞	土一丨
耋	十一乛
鲽	丿乛一丨
昳	未知
蹀	口丨一丨
瓞	丿丿丿一
垤	土一乛
绖	乛乛一乛
楪	未知
定	丶丶一丨
顶	一丨一丿
丁	一丨丨
盯	丨乛一丨
订	丶乛一丨
叮	口一丨丨
鼎	丨乛乛一
钉	金一丨
锭	金丶丶
町	丨乛一丨
仃	人一丨丨
酊	一丨一丨
腚	月丶丶乛
玎	一一一丨
碇	一丿丶丶
疔	丶一一丨
啶	口丶丶乛
耵	一丨一丨
萣	未知
丢	丿一乛丶
铥	金丿一
动	一一乛丿
东	一乛丨丿
洞	水丨乛一
懂	丶丶草
冬	丿乛丶丶
董	草丿一
冻	丶一一乛
栋	木一乛丨
咚	口丿乛丶
峒	丨乛丨乛
胴	月丨乛一
侗	人丨乛一
恫	丶丶丨乛
鸫	一乛丿乛
垌	土丨乛
硐	一丿丨乛
氡	丿一丿乛
胨	月一乛丨
岽	丨乛一乛
都	十乛丨
斗	丶丶十
抖	手丶丶
豆	一口丶丿
逗	一丶丶乛
兜	丿丨丿乛
陡	乛丨土
窦	丶丶十
痘	丶一一口
蚪	丨乛丶丶
蔸	草丿丨
篼	丿一丿丨
钭	金丶丶
读	丶乛十
度	丶一乛丶
独	丿乛丨乛
毒	一一乛乛
杜	木土土
肚	月土土
赌	贝十
督	丨一丨乛
渡	水丶一丿
嘟	口十一
堵	土十
妒	乛丿丶乛
睹	丨乛十
笃	丿一乛乛
渎	水十乛
镀	金丶一
犊	丿一十
牍	丿丨十
蠹	一丨丨乛
黩	丨乛十
阇	未知
芏	草土
椟	木十乛
髑	丨乛丨乛
厾	未知
断	丶丿丿丿
段	丿丨丿乛
短	丿一一口
端	丶一丨乛
锻	金丿丨
缎	乛乛丿丨
煅	丶丿丿丨
椴	木丿丨一
耑	丨乛丨丿
簖	丿一丶丿
塅	未知
瑖	未知
对	乛丶一丨
队	乛丨人人
堆	土人丶
兑	丶丿口丿
怼	乛丶丶乛
碓	一丿人丶
祋	未知
顿	一乛一丿
盾	丿丿十
蹲	口丨丶丿
敦	丶一丿一
沌	水一乛丨
遁	丿丿丶乛
吨	口一乛丨
钝	金一乛
墩	土丶一
炖	丶丿一乛
盹	丨乛一乛
惇	丶丶丶一
趸	一乛口丨
礅	一丿丶一
蹾	未知
砘	一丿一乛
镦	金丶一
囤	丨乛一乛
多	丿乛丿乛
躲	丿丨丿乛
朵	丿乛木木
夺	一丿一丨
堕	乛丨土
哆	口丿乛丶
跺	口丨丿乛
踱	口丨丶一
舵	丿丿丶丶
咄	口乛丨丨
剁	丿乛丨丨
铎	金乛丶
惰	丶丶一丿
垛	土丿乛
掇	手乛丶
哚	口丿乛木
裰	丶乛乛丶
埵	未知
饳	丿乛乛丨
亸	未知
剟	未知
驮	乛乛一丿
㙍	未知
饿	丿乛丿一
呃	口一丿乛
恶	一丨丶乛
额	丶丶一丿
俄	人丿一丨
愕	丶丶口丨
鹅	丿一丿乛
噩	一丨口丨
娥	乛丿丿一
厄	一丿乛乛
峨	丨乛丿一
鄂	口丨乛丨
遏	日丶乛
扼	手一丿
鳄	丿乛口丨
蛾	丨乛丿一
婀	乛丿乛丨
讹	丶乛人丿
锷	金口丨
颚	口丨一丿
鹗	口丨丿乛
萼	草口丨
屙	乛一乛丨
谔	丶乛口丨
垩	一丨土
腭	月口丨一
莪	草丿一
轭	一乛一丿
苊	草一丿
锇	金丿一
崿	未知
姶	未知
涐	未知
哦	口丿一丨
堨	未知
嗯	口丨乛一
恩	丨乛丶乛
摁	手丨乛
蒽	草丨乛
而	一丿丨乛
儿	丿乛乛
二	一一一
尔	丿乛丨丿
耳	一丨丨一
饵	丿乛一丨
迩	丿乛丶乛
贰	一一贝
洱	水一丨丨
珥	一一一丨
铒	金一丨
鸸	一丿丿乛
陑	未知
鲕	丿乛一丿
咡	未知
耏	未知
发	乛丿乛丶
法	水土乛
罚	丨乛丶乛
乏	丿丶乛丶
伐	人一乛丿
阀	丶丨人一
筏	丿一人一
砝	一丿土
珐	一一土
垡	人一土
反	丿丿乛丶
饭	丿乛丿丿
翻	丿丶乛丶
烦	丶丿一丿
凡	丿乛丶丶
犯	丿乛乛乛
范	草水乛
番	丿丶丨乛
繁	丿一乛乛
返	丿丿丶乛
泛	水丿丶乛
帆	丨乛丿乛
贩	贝丿丿
樊	木丿一丿
藩	草水丿
梵	木一丿乛
